Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
259;J1;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;2;31
259;J2;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;9;12
259;J3;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;6;37
259;J4;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;5;199
259;J5;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;3;129
259;J6;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;7;38
259;J7;0;0;0;0;2;0;0;0;5;2;5;6;4;4;3;9;43
259;J8;2;0;4;0;0;0;0;5;10;8;9;3;1;5;9;10;7
259;J9;0;3;0;2;0;10;4;7;0;0;0;0;0;0;0;3;21
259;J10;5;7;0;1;8;0;0;0;0;5;2;4;0;0;0;8;5
259;J11;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;2;124
259;J12;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;3;67
259;J13;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;1;72
259;J14;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;6;129
259;J15;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;7;56

