Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
270;J1;0;0;1;4;0;0;0;0;0;0;0;0;0;5;10;9;53
270;J2;0;0;0;0;1;3;0;0;0;0;7;3;10;9;5;8;38
270;J3;4;3;7;8;1;10;1;3;6;0;4;3;6;10;0;8;47
270;J4;1;0;4;0;3;8;2;0;3;7;10;0;0;0;0;7;47
270;J5;0;4;0;0;0;1;0;0;3;2;9;0;8;10;0;3;54
270;J6;0;0;4;5;0;6;4;6;9;5;5;0;0;0;0;4;48
270;J7;0;4;0;1;7;0;8;2;7;8;7;8;2;1;5;8;84
270;J8;3;9;10;8;0;7;9;10;4;4;5;4;3;8;0;5;27
270;J9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;9;68
270;J10;0;5;0;0;2;2;3;4;5;10;7;7;0;0;0;7;49
270;J11;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;1;110
270;J12;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;2;57
270;J13;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;6;1
270;J14;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;3;13
270;J15;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;1;136

