Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
257;J1;9;10;1;6;7;2;0;0;0;0;9;3;1;6;3;4;41
257;J2;0;0;0;0;0;0;0;0;5;7;0;0;0;5;0;6;48
257;J3;0;0;0;9;0;0;0;0;0;0;0;0;3;8;7;4;5
257;J4;0;0;0;0;0;1;7;0;0;0;0;6;5;0;0;6;40
257;J5;0;0;0;3;4;2;5;7;1;6;0;0;0;5;4;8;47
257;J6;3;0;0;0;1;0;9;0;0;0;0;0;0;0;0;4;30
257;J7;0;0;0;3;6;3;6;9;8;7;1;0;0;0;0;6;6
257;J8;0;0;5;0;0;0;0;0;0;0;0;0;0;3;7;7;46
257;J9;8;7;2;0;0;0;0;0;0;4;3;0;0;0;0;4;4
257;J10;10;7;5;4;8;7;8;8;7;3;8;5;2;1;1;1;30
257;J11;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;9;35
257;J12;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;6;49
257;J13;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;7;7
257;J14;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;6;18
257;J15;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;3;0

