Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
265;J1;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;2;70
265;J2;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;6;48
265;J3;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;8;37
265;J4;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;10;52
265;J5;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;5;22
265;J6;3;0;4;1;0;2;2;3;4;8;10;6;2;6;6;8;41
265;J7;1;8;5;8;1;2;5;2;1;8;8;0;0;0;0;6;139
265;J8;0;0;0;5;8;2;10;9;7;10;8;5;9;1;0;7;89
265;J9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;4;41
265;J10;3;0;0;0;1;2;8;4;6;7;0;0;0;0;1;6;31
265;J11;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;10;108
265;J12;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;5;123
265;J13;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;9;49
265;J14;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;8;25
265;J15;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;3;115

