Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
255;J1;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;7;78
255;J2;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;6;29
255;J3;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;9;140
255;J4;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;9;48
255;J5;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;4;179
255;J6;5;1;0;0;0;2;2;3;7;9;0;0;0;0;0;6;61
255;J7;6;2;2;1;0;4;3;8;6;9;4;0;0;0;0;8;59
255;J8;4;0;3;1;5;0;0;0;0;0;0;4;1;2;0;8;72
255;J9;0;0;4;0;0;3;2;0;0;0;0;0;0;0;0;7;3
255;J10;0;0;7;2;0;0;0;0;0;0;4;1;2;3;0;8;72
255;J11;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;180
255;J12;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;75
255;J13;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;1;70
255;J14;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;2;144
255;J15;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;154

