Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
272;J1;0;4;0;2;0;0;0;0;6;0;3;2;4;7;8;7;93
272;J2;4;7;2;5;0;0;3;8;0;0;0;0;7;9;0;6;110
272;J3;0;0;0;0;7;6;1;0;0;0;0;0;9;0;0;1;26
272;J4;0;0;0;0;0;0;0;0;0;5;0;8;0;0;10;9;65
272;J5;4;0;0;2;5;0;0;0;0;0;4;10;0;8;4;3;111
272;J6;0;2;0;0;0;6;1;3;0;0;0;0;0;0;0;8;36
272;J7;7;0;3;10;2;8;1;6;5;8;1;6;7;0;0;1;84
272;J8;0;2;6;0;4;0;0;0;0;6;7;5;8;6;10;6;84
272;J9;0;5;0;0;0;5;5;5;5;1;8;7;10;0;0;2;0
272;J10;0;0;3;0;0;3;6;5;9;4;0;0;0;0;0;1;74
272;J11;0;0;0;0;0;3;2;0;0;0;0;0;9;7;0;4;26
272;J12;0;4;2;1;0;0;0;0;0;0;3;0;0;0;0;1;46
272;J13;0;2;0;0;8;3;6;1;4;0;6;5;10;3;7;1;93
272;J14;0;0;3;0;0;0;8;0;7;0;0;0;0;0;6;6;28
272;J15;3;9;7;3;10;0;7;8;7;6;10;9;4;8;1;7;11

