Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
275;J1;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;8;2
275;J2;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;8;12
275;J3;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;7;22
275;J4;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;7;45
275;J5;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;3;23
275;J6;0;2;0;0;0;0;0;0;2;6;10;0;0;0;0;3;8
275;J7;2;9;4;2;0;0;0;0;0;0;0;0;0;2;0;4;23
275;J8;6;1;3;0;0;0;0;3;7;4;9;6;3;2;1;7;40
275;J9;0;0;6;0;4;10;5;9;1;3;2;1;4;9;4;7;27
275;J10;4;0;0;5;2;9;1;4;5;5;2;9;0;0;0;4;11
275;J11;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;8;2
275;J12;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;8;12
275;J13;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;7;22
275;J14;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;7;45
275;J15;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;3;23

