Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
256;J1;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;180
256;J2;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;75
256;J3;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;1;70
256;J4;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;2;144
256;J5;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;154
256;J6;2;0;10;2;9;10;2;3;3;8;6;4;5;2;4;5;23
256;J7;3;0;1;2;0;2;3;8;0;0;0;0;0;1;0;8;18
256;J8;0;5;3;0;0;0;0;0;4;8;3;0;7;5;0;1;9
256;J9;0;0;3;0;2;0;1;2;6;4;2;6;9;3;3;2;27
256;J10;9;7;0;6;3;5;7;0;0;8;6;0;0;0;0;9;26
256;J11;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;180
256;J12;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;75
256;J13;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;1;70
256;J14;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;2;144
256;J15;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;154

