Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
266;J1;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;10;108
266;J2;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;5;123
266;J3;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;9;49
266;J4;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;8;25
266;J5;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;3;115
266;J6;2;0;0;0;0;0;0;0;0;9;5;9;6;2;2;1;181
266;J7;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;4;50
266;J8;2;7;10;2;2;0;1;0;0;0;0;0;0;0;0;6;180
266;J9;2;2;6;3;9;3;5;0;4;6;0;0;0;0;0;8;13
266;J10;0;4;1;4;3;2;3;4;0;6;0;0;0;5;7;10;41
266;J11;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;1;89
266;J12;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;5;73
266;J13;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;10;2
266;J14;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;4;38
266;J15;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;3;68

