Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
253;J1;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;1;18
253;J2;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;8;8
253;J3;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;10;44
253;J4;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;2;44
253;J5;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;5;6
253;J6;10;1;8;5;0;0;0;0;0;9;4;5;2;1;6;4;16
253;J7;0;0;0;2;6;7;3;6;4;5;6;0;0;0;0;1;55
253;J8;7;0;0;5;0;0;0;0;1;6;9;8;3;0;0;9;41
253;J9;0;1;0;0;0;0;6;2;0;0;0;7;4;0;0;8;73
253;J10;7;3;0;0;5;0;0;0;0;3;0;5;8;7;1;7;98
253;J11;0;0;0;3;0;5;4;0;0;0;0;0;9;10;0;2;94
253;J12;0;0;0;0;5;0;0;0;3;0;10;0;0;0;0;8;65
253;J13;1;1;7;2;4;0;0;5;3;0;0;0;0;0;8;3;60
253;J14;2;8;3;1;0;0;0;6;2;0;0;3;6;0;0;9;97
253;J15;0;0;0;0;0;0;0;0;0;9;2;8;4;9;0;1;65

