Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
261;J1;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;1;3
261;J2;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;6;33
261;J3;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;6;39
261;J4;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;6;3
261;J5;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;1;23
261;J6;5;2;9;0;0;0;0;1;9;4;2;5;0;6;0;7;37
261;J7;0;0;0;2;0;2;6;0;0;9;10;0;5;0;0;8;36
261;J8;10;8;1;0;4;2;9;1;6;7;0;0;0;0;2;3;38
261;J9;5;1;6;1;0;6;0;5;3;0;0;0;0;0;0;10;79
261;J10;8;4;8;10;5;0;0;0;0;2;0;5;9;1;8;4;120
261;J11;3;8;0;0;5;9;2;0;0;4;8;4;10;1;4;10;8
261;J12;7;1;3;5;6;0;0;10;8;0;8;8;10;10;8;1;29
261;J13;0;0;5;4;0;0;0;0;0;0;0;0;8;5;10;7;32
261;J14;0;0;0;6;3;8;0;7;0;0;10;1;0;0;0;8;42
261;J15;9;7;2;3;0;0;0;0;8;4;0;1;10;4;6;9;6

