Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
251;J1;4;3;0;5;0;7;0;8;0;9;2;0;0;0;0;9;16
251;J2;0;0;4;0;0;0;6;0;0;0;0;1;0;0;0;4;24
251;J3;0;0;0;0;0;0;0;0;2;0;4;0;0;5;0;10;4
251;J4;0;8;1;0;7;3;4;0;0;0;0;4;7;0;0;7;18
251;J5;2;3;6;5;8;1;1;5;10;9;0;0;8;0;4;4;6
251;J6;9;2;8;1;0;0;0;0;0;0;4;0;0;0;0;6;46
251;J7;0;0;0;3;0;3;9;4;3;9;7;2;3;2;0;5;17
251;J8;0;0;10;7;0;0;0;0;0;0;1;6;0;0;7;6;38
251;J9;0;6;0;0;0;0;3;4;0;0;0;0;0;0;0;6;6
251;J10;7;0;8;7;2;0;0;0;0;2;1;0;0;0;0;8;0
251;J11;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;6;60
251;J12;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;6;26
251;J13;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;7;37
251;J14;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;6;35
251;J15;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;7;79

