Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
264;J1;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;8;7
264;J2;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;9;91
264;J3;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;4;46
264;J4;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;3;37
264;J5;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;3;49
264;J6;3;7;3;8;0;0;0;0;0;0;9;3;2;7;8;6;63
264;J7;3;3;5;6;5;5;3;3;9;7;4;2;2;3;5;10;38
264;J8;5;1;7;8;5;0;0;0;0;0;7;4;5;0;0;7;100
264;J9;4;4;2;8;2;0;4;0;3;5;0;0;0;0;0;7;79
264;J10;6;0;4;7;0;0;0;0;0;2;1;3;0;7;6;8;1
264;J11;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;2;70
264;J12;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;6;48
264;J13;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;8;37
264;J14;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;10;52
264;J15;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;5;22

