Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
268;J1;10;6;6;6;0;2;5;6;8;1;5;0;0;0;0;3;48
268;J2;0;0;0;4;8;0;0;0;0;0;0;0;9;4;0;6;27
268;J3;0;0;0;0;3;2;0;0;0;0;0;5;4;9;0;7;47
268;J4;3;7;8;10;6;0;0;0;0;0;7;0;0;0;4;1;3
268;J5;0;0;0;0;1;2;3;0;0;5;9;7;6;5;8;1;24
268;J6;1;3;2;4;5;2;6;10;1;4;0;0;0;0;0;10;46
268;J7;7;8;5;0;1;0;0;0;0;0;0;4;3;0;0;3;4
268;J8;2;0;4;1;5;0;0;0;5;4;0;0;0;0;0;4;45
268;J9;6;0;0;0;0;2;0;0;1;8;10;8;10;8;9;4;49
268;J10;4;0;7;1;5;0;0;0;0;0;0;0;5;4;3;6;1
268;J11;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;8;128
268;J12;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;9;34
268;J13;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;10;178
268;J14;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;1;136
268;J15;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;8;12

