Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
293;J1;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;8;128
293;J2;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;9;34
293;J3;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;10;178
293;J4;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;1;136
293;J5;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;8;12
293;J6;0;0;0;3;2;10;9;9;3;9;9;0;0;0;0;4;44
293;J7;5;5;8;2;3;0;0;9;5;6;3;6;0;0;0;10;26
293;J8;0;2;8;0;7;3;5;4;3;2;4;8;6;2;0;7;186
293;J9;4;6;1;8;7;5;1;4;7;1;0;0;6;0;2;5;155
293;J10;0;0;2;0;0;0;3;4;2;2;9;4;1;5;1;7;154
293;J11;0;0;1;4;0;0;0;0;0;0;0;0;0;5;10;9;53
293;J12;0;0;0;0;1;3;0;0;0;0;7;3;10;9;5;8;38
293;J13;4;3;7;8;1;10;1;3;6;0;4;3;6;10;0;8;47
293;J14;1;0;4;0;3;8;2;0;3;7;10;0;0;0;0;7;47
293;J15;0;4;0;0;0;1;0;0;3;2;9;0;8;10;0;3;54
293;J16;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;8;128
293;J17;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;9;34
293;J18;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;10;178
293;J19;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;1;136
293;J20;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;8;12

