Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
284;J1;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;2;124
284;J2;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;3;67
284;J3;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;1;72
284;J4;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;6;129
284;J5;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;7;56
284;J6;1;0;0;0;0;6;6;8;0;0;6;9;2;5;10;2;86
284;J7;4;3;7;0;0;0;0;0;0;4;0;0;0;0;0;2;48
284;J8;2;9;0;3;0;1;6;10;2;1;9;0;0;0;0;10;28
284;J9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;6;2
284;J10;4;7;3;6;3;6;5;0;1;0;0;0;0;0;0;5;80
284;J11;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;1;3
284;J12;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;6;33
284;J13;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;6;39
284;J14;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;6;3
284;J15;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;1;23
284;J16;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;2;124
284;J17;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;3;67
284;J18;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;1;72
284;J19;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;6;129
284;J20;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;7;56

