Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
279;J1;0;0;0;3;0;5;4;0;0;0;0;0;9;10;0;2;94
279;J2;0;0;0;0;5;0;0;0;3;0;10;0;0;0;0;8;65
279;J3;1;1;7;2;4;0;0;5;3;0;0;0;0;0;8;3;60
279;J4;2;8;3;1;0;0;0;6;2;0;0;3;6;0;0;9;97
279;J5;0;0;0;0;0;0;0;0;0;9;2;8;4;9;0;1;65
279;J6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;38
279;J7;0;3;10;6;7;0;0;0;1;0;0;0;0;0;0;5;27
279;J8;6;7;2;5;1;8;8;5;10;5;9;9;4;6;5;8;16
279;J9;1;8;0;4;0;0;0;0;9;0;0;0;5;6;3;1;45
279;J10;1;7;5;0;0;0;0;0;0;0;3;8;0;0;0;3;30
279;J11;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;180
279;J12;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;75
279;J13;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;1;70
279;J14;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;2;144
279;J15;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;154
279;J16;0;0;0;3;0;5;4;0;0;0;0;0;9;10;0;2;94
279;J17;0;0;0;0;5;0;0;0;3;0;10;0;0;0;0;8;65
279;J18;1;1;7;2;4;0;0;5;3;0;0;0;0;0;8;3;60
279;J19;2;8;3;1;0;0;0;6;2;0;0;3;6;0;0;9;97
279;J20;0;0;0;0;0;0;0;0;0;9;2;8;4;9;0;1;65

