Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
281;J1;9;10;1;6;7;2;0;0;0;0;9;3;1;6;3;4;41
281;J2;0;0;0;0;0;0;0;0;5;7;0;0;0;5;0;6;48
281;J3;0;0;0;9;0;0;0;0;0;0;0;0;3;8;7;4;5
281;J4;0;0;0;0;0;1;7;0;0;0;0;6;5;0;0;6;40
281;J5;0;0;0;3;4;2;5;7;1;6;0;0;0;5;4;8;47
281;J6;3;0;0;0;1;0;9;0;0;0;0;0;0;0;0;4;30
281;J7;0;0;0;3;6;3;6;9;8;7;1;0;0;0;0;6;6
281;J8;0;0;5;0;0;0;0;0;0;0;0;0;0;3;7;7;46
281;J9;8;7;2;0;0;0;0;0;0;4;3;0;0;0;0;4;4
281;J10;10;7;5;4;8;7;8;8;7;3;8;5;2;1;1;1;30
281;J11;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;9;35
281;J12;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;6;49
281;J13;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;7;7
281;J14;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;6;18
281;J15;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;3;0
281;J16;9;10;1;6;7;2;0;0;0;0;9;3;1;6;3;4;41
281;J17;0;0;0;0;0;0;0;0;5;7;0;0;0;5;0;6;48
281;J18;0;0;0;9;0;0;0;0;0;0;0;0;3;8;7;4;5
281;J19;0;0;0;0;0;1;7;0;0;0;0;6;5;0;0;6;40
281;J20;0;0;0;3;4;2;5;7;1;6;0;0;0;5;4;8;47

