Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
287;J1;0;4;0;0;1;3;0;0;0;0;0;0;8;7;4;2;36
287;J2;6;5;3;0;0;0;4;0;0;0;1;8;9;9;6;5;4
287;J3;5;1;10;0;0;7;8;3;0;9;6;3;0;0;0;3;43
287;J4;0;0;0;7;0;0;0;0;0;0;0;3;0;2;0;6;3
287;J5;0;0;0;0;5;2;0;0;4;3;0;0;5;7;10;10;39
287;J6;4;0;8;7;5;0;5;2;5;4;10;1;2;3;4;6;12
287;J7;1;7;0;9;0;0;0;0;4;6;1;1;1;0;0;6;13
287;J8;0;0;0;3;2;0;0;2;0;0;0;0;0;0;0;9;41
287;J9;0;3;7;0;2;0;0;0;0;4;4;3;3;8;7;10;5
287;J10;4;3;10;3;10;4;3;0;0;0;0;0;0;0;0;6;32
287;J11;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;8;7
287;J12;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;9;91
287;J13;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;4;46
287;J14;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;3;37
287;J15;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;3;49
287;J16;0;4;0;0;1;3;0;0;0;0;0;0;8;7;4;2;36
287;J17;6;5;3;0;0;0;4;0;0;0;1;8;9;9;6;5;4
287;J18;5;1;10;0;0;7;8;3;0;9;6;3;0;0;0;3;43
287;J19;0;0;0;7;0;0;0;0;0;0;0;3;0;2;0;6;3
287;J20;0;0;0;0;5;2;0;0;4;3;0;0;5;7;10;10;39

