Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
291;J1;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;1;89
291;J2;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;5;73
291;J3;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;10;2
291;J4;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;4;38
291;J5;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;3;68
291;J6;0;1;2;4;6;4;8;1;1;9;4;8;2;2;6;9;44
291;J7;0;2;0;3;0;0;0;0;0;0;0;8;1;5;0;6;24
291;J8;0;0;1;0;0;4;5;7;0;0;0;0;0;0;0;10;13
291;J9;0;0;3;0;0;10;3;9;6;8;4;4;6;10;2;5;11
291;J10;0;8;7;7;2;0;0;0;1;2;0;0;0;0;0;2;18
291;J11;10;6;6;6;0;2;5;6;8;1;5;0;0;0;0;3;48
291;J12;0;0;0;4;8;0;0;0;0;0;0;0;9;4;0;6;27
291;J13;0;0;0;0;3;2;0;0;0;0;0;5;4;9;0;7;47
291;J14;3;7;8;10;6;0;0;0;0;0;7;0;0;0;4;1;3
291;J15;0;0;0;0;1;2;3;0;0;5;9;7;6;5;8;1;24
291;J16;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;1;89
291;J17;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;5;73
291;J18;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;10;2
291;J19;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;4;38
291;J20;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;3;68

