Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
280;J1;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;180
280;J2;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;75
280;J3;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;1;70
280;J4;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;2;144
280;J5;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;154
280;J6;2;0;10;2;9;10;2;3;3;8;6;4;5;2;4;5;23
280;J7;3;0;1;2;0;2;3;8;0;0;0;0;0;1;0;8;18
280;J8;0;5;3;0;0;0;0;0;4;8;3;0;7;5;0;1;9
280;J9;0;0;3;0;2;0;1;2;6;4;2;6;9;3;3;2;27
280;J10;9;7;0;6;3;5;7;0;0;8;6;0;0;0;0;9;26
280;J11;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;180
280;J12;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;75
280;J13;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;1;70
280;J14;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;2;144
280;J15;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;154
280;J16;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;180
280;J17;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;75
280;J18;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;1;70
280;J19;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;2;144
280;J20;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;154

