Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
285;J1;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;1;3
285;J2;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;6;33
285;J3;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;6;39
285;J4;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;6;3
285;J5;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;1;23
285;J6;5;2;9;0;0;0;0;1;9;4;2;5;0;6;0;7;37
285;J7;0;0;0;2;0;2;6;0;0;9;10;0;5;0;0;8;36
285;J8;10;8;1;0;4;2;9;1;6;7;0;0;0;0;2;3;38
285;J9;5;1;6;1;0;6;0;5;3;0;0;0;0;0;0;10;79
285;J10;8;4;8;10;5;0;0;0;0;2;0;5;9;1;8;4;120
285;J11;3;8;0;0;5;9;2;0;0;4;8;4;10;1;4;10;8
285;J12;7;1;3;5;6;0;0;10;8;0;8;8;10;10;8;1;29
285;J13;0;0;5;4;0;0;0;0;0;0;0;0;8;5;10;7;32
285;J14;0;0;0;6;3;8;0;7;0;0;10;1;0;0;0;8;42
285;J15;9;7;2;3;0;0;0;0;8;4;0;1;10;4;6;9;6
285;J16;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;1;3
285;J17;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;6;33
285;J18;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;6;39
285;J19;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;6;3
285;J20;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;1;23

