Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
292;J1;10;6;6;6;0;2;5;6;8;1;5;0;0;0;0;3;48
292;J2;0;0;0;4;8;0;0;0;0;0;0;0;9;4;0;6;27
292;J3;0;0;0;0;3;2;0;0;0;0;0;5;4;9;0;7;47
292;J4;3;7;8;10;6;0;0;0;0;0;7;0;0;0;4;1;3
292;J5;0;0;0;0;1;2;3;0;0;5;9;7;6;5;8;1;24
292;J6;1;3;2;4;5;2;6;10;1;4;0;0;0;0;0;10;46
292;J7;7;8;5;0;1;0;0;0;0;0;0;4;3;0;0;3;4
292;J8;2;0;4;1;5;0;0;0;5;4;0;0;0;0;0;4;45
292;J9;6;0;0;0;0;2;0;0;1;8;10;8;10;8;9;4;49
292;J10;4;0;7;1;5;0;0;0;0;0;0;0;5;4;3;6;1
292;J11;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;8;128
292;J12;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;9;34
292;J13;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;10;178
292;J14;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;1;136
292;J15;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;8;12
292;J16;10;6;6;6;0;2;5;6;8;1;5;0;0;0;0;3;48
292;J17;0;0;0;4;8;0;0;0;0;0;0;0;9;4;0;6;27
292;J18;0;0;0;0;3;2;0;0;0;0;0;5;4;9;0;7;47
292;J19;3;7;8;10;6;0;0;0;0;0;7;0;0;0;4;1;3
292;J20;0;0;0;0;1;2;3;0;0;5;9;7;6;5;8;1;24

