Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
276;J1;4;3;0;5;0;7;0;8;0;9;2;0;0;0;0;9;16
276;J2;0;0;4;0;0;0;6;0;0;0;0;1;0;0;0;4;24
276;J3;0;0;0;0;0;0;0;0;2;0;4;0;0;5;0;10;4
276;J4;0;8;1;0;7;3;4;0;0;0;0;4;7;0;0;7;18
276;J5;2;3;6;5;8;1;1;5;10;9;0;0;8;0;4;4;6
276;J6;9;2;8;1;0;0;0;0;0;0;4;0;0;0;0;6;46
276;J7;0;0;0;3;0;3;9;4;3;9;7;2;3;2;0;5;17
276;J8;0;0;10;7;0;0;0;0;0;0;1;6;0;0;7;6;38
276;J9;0;6;0;0;0;0;3;4;0;0;0;0;0;0;0;6;6
276;J10;7;0;8;7;2;0;0;0;0;2;1;0;0;0;0;8;0
276;J11;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;6;60
276;J12;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;6;26
276;J13;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;7;37
276;J14;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;6;35
276;J15;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;7;79
276;J16;4;3;0;5;0;7;0;8;0;9;2;0;0;0;0;9;16
276;J17;0;0;4;0;0;0;6;0;0;0;0;1;0;0;0;4;24
276;J18;0;0;0;0;0;0;0;0;2;0;4;0;0;5;0;10;4
276;J19;0;8;1;0;7;3;4;0;0;0;0;4;7;0;0;7;18
276;J20;2;3;6;5;8;1;1;5;10;9;0;0;8;0;4;4;6

