Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
300;J1;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;7;78
300;J2;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;6;29
300;J3;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;9;140
300;J4;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;9;48
300;J5;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;4;179
300;J6;5;1;0;0;0;2;2;3;7;9;0;0;0;0;0;6;61
300;J7;6;2;2;1;0;4;3;8;6;9;4;0;0;0;0;8;59
300;J8;4;0;3;1;5;0;0;0;0;0;0;4;1;2;0;8;72
300;J9;0;0;4;0;0;3;2;0;0;0;0;0;0;0;0;7;3
300;J10;0;0;7;2;0;0;0;0;0;0;4;1;2;3;0;8;72
300;J11;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;8;2
300;J12;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;8;12
300;J13;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;7;22
300;J14;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;7;45
300;J15;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;3;23
300;J16;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;1;3
300;J17;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;6;33
300;J18;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;6;39
300;J19;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;6;3
300;J20;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;1;23

