Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
277;J1;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;6;60
277;J2;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;6;26
277;J3;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;7;37
277;J4;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;6;35
277;J5;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;7;79
277;J6;0;0;9;3;0;0;0;5;3;9;7;0;0;0;8;10;89
277;J7;3;0;3;8;0;2;8;4;3;0;0;7;5;0;0;2;75
277;J8;10;8;4;5;0;5;0;4;7;4;5;0;0;3;2;10;93
277;J9;0;0;0;0;9;0;0;0;0;2;1;10;4;5;0;6;50
277;J10;0;0;7;4;8;0;0;0;0;0;0;1;4;3;6;2;143
277;J11;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;1;18
277;J12;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;8;8
277;J13;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;10;44
277;J14;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;2;44
277;J15;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;5;6
277;J16;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;6;60
277;J17;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;6;26
277;J18;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;7;37
277;J19;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;6;35
277;J20;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;7;79

