Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
282;J1;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;9;35
282;J2;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;6;49
282;J3;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;7;7
282;J4;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;6;18
282;J5;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;3;0
282;J6;4;10;0;1;3;6;3;0;0;0;0;0;0;0;0;1;48
282;J7;0;0;3;1;0;0;0;1;3;0;0;0;0;0;0;10;43
282;J8;4;0;0;0;0;0;7;5;6;4;9;0;0;0;0;10;24
282;J9;2;9;9;9;7;1;5;8;7;9;10;10;8;8;5;9;17
282;J10;9;8;0;2;8;3;5;10;5;9;7;4;9;0;0;7;28
282;J11;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;2;31
282;J12;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;9;12
282;J13;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;6;37
282;J14;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;5;199
282;J15;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;3;129
282;J16;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;9;35
282;J17;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;6;49
282;J18;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;7;7
282;J19;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;6;18
282;J20;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;3;0

