Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
283;J1;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;2;31
283;J2;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;9;12
283;J3;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;6;37
283;J4;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;5;199
283;J5;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;3;129
283;J6;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;7;38
283;J7;0;0;0;0;2;0;0;0;5;2;5;6;4;4;3;9;43
283;J8;2;0;4;0;0;0;0;5;10;8;9;3;1;5;9;10;7
283;J9;0;3;0;2;0;10;4;7;0;0;0;0;0;0;0;3;21
283;J10;5;7;0;1;8;0;0;0;0;5;2;4;0;0;0;8;5
283;J11;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;2;124
283;J12;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;3;67
283;J13;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;1;72
283;J14;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;6;129
283;J15;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;7;56
283;J16;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;2;31
283;J17;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;9;12
283;J18;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;6;37
283;J19;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;5;199
283;J20;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;3;129

