Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
173;J1;8;0;0;0;0;0;0;0;0;0;1;4
173;J2;0;1;6;0;0;0;0;0;0;0;4;62
173;J3;2;3;7;5;5;6;6;4;0;0;4;59
173;J4;10;3;8;9;6;9;8;5;5;7;10;89
173;J5;3;2;4;2;1;6;4;10;5;7;7;76
173;J6;0;0;0;0;0;0;0;4;8;6;3;46
173;J7;7;10;0;0;0;0;0;0;0;0;4;6
173;J8;0;0;0;0;0;0;0;0;0;4;9;4
173;J9;3;1;5;0;0;0;0;0;0;0;3;76
173;J10;4;6;3;5;6;8;6;2;7;5;10;5
173;J11;0;0;1;7;6;5;2;8;10;5;9;13
173;J12;1;10;1;1;4;4;5;2;5;0;3;92
173;J13;4;10;8;10;8;1;5;5;10;6;7;77
173;J14;4;10;0;0;0;0;0;0;0;0;7;94
173;J15;0;0;0;1;10;9;10;5;4;7;2;25

