Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
155;J1;10;10;4;10;8;10;4;0;0;0;4;28
155;J2;0;0;0;0;0;0;0;0;7;9;1;40
155;J3;2;3;0;0;0;0;0;0;0;0;7;33
155;J4;9;2;5;3;6;7;8;1;7;7;3;14
155;J5;9;10;5;3;1;8;7;10;7;4;1;9
155;J6;7;4;7;8;2;1;8;8;4;6;5;13
155;J7;9;6;0;0;0;0;0;0;0;0;7;9
155;J8;0;0;0;0;0;0;0;3;4;8;1;38
155;J9;8;7;2;4;10;1;0;0;0;0;5;28
155;J10;0;0;6;7;4;2;6;1;7;2;7;20
155;J11;4;7;2;8;4;0;0;0;0;0;8;5
155;J12;0;0;0;0;0;0;0;4;5;1;9;33
155;J13;3;6;2;0;0;0;0;0;0;0;1;38
155;J14;9;7;7;10;4;7;0;0;0;0;10;45
155;J15;8;1;5;5;6;9;2;3;1;0;5;43

