Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
153;J1;2;9;10;10;5;1;2;8;1;0;8;32
153;J2;0;0;0;4;9;1;10;2;4;3;6;1
153;J3;10;1;0;0;0;0;0;0;0;0;4;27
153;J4;0;0;9;6;3;0;0;0;0;0;9;22
153;J5;9;8;1;6;2;5;6;9;3;0;10;34
153;J6;0;0;0;0;7;10;6;6;3;5;2;19
153;J7;7;10;7;1;4;5;0;0;0;0;5;42
153;J8;5;0;0;0;0;0;0;0;0;0;4;19
153;J9;8;3;2;4;0;0;0;0;0;0;5;49
153;J10;0;0;0;0;0;0;5;7;8;5;8;44
153;J11;10;0;0;0;0;0;0;0;0;0;1;9
153;J12;7;4;8;9;9;9;7;0;0;0;8;24
153;J13;0;0;0;0;0;10;2;1;4;5;1;3
153;J14;8;4;10;0;0;0;0;0;0;0;8;3
153;J15;3;5;6;6;5;0;0;0;0;0;3;21

