Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
171;J1;4;1;8;0;0;0;0;0;0;0;5;122
171;J2;5;9;5;1;3;3;3;0;0;0;3;27
171;J3;0;0;0;0;0;0;6;7;4;6;6;5
171;J4;2;7;0;0;0;0;0;0;0;0;1;96
171;J5;0;0;0;0;0;3;8;5;4;9;8;8
171;J6;10;2;0;0;0;0;0;0;0;0;5;140
171;J7;10;8;3;4;0;0;0;0;0;0;7;49
171;J8;0;0;0;2;10;7;7;4;7;6;7;92
171;J9;8;0;0;0;0;0;0;0;0;0;3;105
171;J10;1;3;3;2;2;6;0;0;0;0;2;114
171;J11;0;0;0;0;0;0;2;3;3;7;6;37
171;J12;6;10;7;6;6;5;3;7;1;3;3;86
171;J13;7;8;2;0;0;0;0;0;0;0;2;103
171;J14;0;4;10;3;9;1;9;7;3;1;3;68
171;J15;6;1;0;0;0;0;0;0;0;0;6;85

