Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
158;J1;10;8;3;6;3;6;1;2;7;0;2;129
158;J2;2;9;7;4;0;0;0;0;0;0;10;140
158;J3;4;7;5;2;2;4;2;8;2;3;6;12
158;J4;0;0;8;6;4;4;6;4;9;5;10;9
158;J5;2;8;4;6;6;7;0;0;0;0;10;67
158;J6;3;8;10;3;7;10;2;3;8;7;4;74
158;J7;0;0;0;0;0;2;1;3;9;3;8;91
158;J8;3;6;6;9;5;0;0;0;0;0;3;90
158;J9;0;0;0;0;0;0;0;0;0;10;8;66
158;J10;1;4;7;10;7;1;4;2;1;4;3;152
158;J11;0;6;3;5;1;1;5;5;5;4;10;28
158;J12;0;0;0;6;8;6;10;7;8;0;1;112
158;J13;5;3;8;7;2;1;1;5;10;5;5;54
158;J14;8;2;8;4;3;6;0;0;0;0;8;127
158;J15;0;0;4;7;1;3;3;1;2;7;3;174

