Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
174;J1;6;10;1;0;0;0;0;0;0;0;10;3
174;J2;0;0;0;0;0;7;4;4;8;7;5;8
174;J3;5;3;9;9;9;6;10;3;0;0;3;31
174;J4;0;9;8;4;7;7;6;9;6;6;5;12
174;J5;6;8;0;0;0;0;0;0;0;0;1;17
174;J6;0;0;0;0;0;0;0;0;0;4;10;45
174;J7;3;1;8;0;0;0;0;0;0;0;6;30
174;J8;0;0;0;0;0;0;0;3;7;10;6;27
174;J9;3;9;7;0;0;0;0;0;0;0;4;21
174;J10;0;0;0;3;5;4;2;0;0;0;5;12
174;J11;2;1;6;1;4;8;0;0;0;0;2;0
174;J12;0;0;0;2;8;8;7;10;9;8;3;3
174;J13;4;2;1;7;8;3;0;0;0;0;10;16
174;J14;0;3;8;6;1;5;7;2;4;1;5;49
174;J15;10;9;3;9;2;10;6;5;0;0;10;48

