Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
166;J1;10;0;0;0;0;0;0;0;0;0;9;122
166;J2;7;6;9;10;0;0;0;0;0;0;5;132
166;J3;0;0;0;0;0;0;0;2;4;8;9;124
166;J4;8;10;3;10;1;1;4;1;6;8;10;150
166;J5;4;10;9;3;2;10;3;3;0;0;2;82
166;J6;8;5;7;4;10;6;2;9;1;10;5;55
166;J7;0;0;6;9;7;6;2;2;7;8;4;57
166;J8;2;1;7;9;10;4;9;5;5;9;7;9
166;J9;5;1;4;1;1;9;0;0;0;0;8;16
166;J10;0;0;0;10;7;9;10;3;9;4;7;19
166;J11;0;0;6;7;0;0;0;0;0;0;5;85
166;J12;10;0;0;0;0;0;0;0;0;0;4;28
166;J13;8;6;4;7;7;6;10;3;1;0;3;121
166;J14;0;0;0;0;0;0;0;0;0;7;4;98
166;J15;7;7;3;9;4;1;8;9;7;10;6;85

