Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
163;J1;7;9;9;10;6;4;5;3;0;0;3;75
163;J2;0;0;0;0;0;0;2;7;5;7;4;102
163;J3;4;0;0;0;0;0;0;0;0;0;7;133
163;J4;2;4;7;10;0;0;0;0;0;0;1;66
163;J5;0;0;0;5;7;5;4;3;7;2;9;129
163;J6;8;2;9;1;3;2;5;4;6;0;5;3
163;J7;0;0;0;9;8;10;7;7;6;1;1;14
163;J8;2;6;7;9;5;0;0;0;0;0;7;180
163;J9;0;0;0;0;0;0;0;0;0;5;6;139
163;J10;3;4;5;4;4;6;8;0;0;0;10;133
163;J11;0;0;0;0;0;6;10;5;6;7;6;172
163;J12;9;5;2;9;0;0;0;0;0;0;3;75
163;J13;0;0;0;0;2;2;3;10;8;7;2;32
163;J14;6;8;9;3;7;2;0;0;0;0;5;8
163;J15;6;2;9;8;6;7;7;7;7;0;8;152

