Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
170;J1;6;7;9;0;0;0;0;0;0;0;6;43
170;J2;0;4;4;2;10;6;5;10;3;1;1;41
170;J3;1;8;7;0;0;0;0;0;0;0;8;28
170;J4;0;0;0;0;0;0;0;9;6;5;1;18
170;J5;1;0;0;0;0;0;0;0;0;0;7;82
170;J6;0;6;4;7;4;0;0;0;0;0;1;57
170;J7;6;5;1;3;5;9;9;2;0;0;7;44
170;J8;0;0;0;8;8;9;3;1;6;4;10;100
170;J9;10;7;7;8;5;7;4;0;0;0;10;32
170;J10;0;0;0;0;4;10;3;6;9;2;10;87
170;J11;6;3;9;6;10;7;0;0;0;0;3;27
170;J12;0;0;0;0;0;3;1;9;9;8;8;87
170;J13;8;5;7;9;6;6;4;6;7;0;3;62
170;J14;0;0;0;2;10;1;4;6;7;3;7;6
170;J15;3;1;2;4;0;0;0;0;0;0;9;6

