Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
152;J1;9;5;1;8;0;0;0;0;0;0;10;67
152;J2;8;4;3;10;6;8;7;6;8;0;2;5
152;J3;0;0;0;0;0;0;7;3;7;5;6;144
152;J4;10;0;0;0;0;0;0;0;0;0;1;47
152;J5;0;9;0;0;0;0;0;0;0;0;2;125
152;J6;0;0;10;6;0;0;0;0;0;0;9;31
152;J7;0;0;0;0;10;5;0;0;0;0;8;136
152;J8;0;0;0;0;0;0;3;8;0;0;8;91
152;J9;6;5;5;8;2;6;1;4;0;0;7;149
152;J10;0;0;0;9;8;4;4;3;4;3;8;16
152;J11;7;6;3;3;3;10;3;1;2;5;3;12
152;J12;7;10;6;7;7;7;4;0;0;0;7;84
152;J13;0;0;0;0;2;3;7;8;6;1;4;144
152;J14;3;6;4;5;7;4;0;0;0;0;6;43
152;J15;0;0;0;10;4;3;10;4;9;1;5;14

