Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
156;J1;5;0;0;0;0;0;0;0;0;0;10;119
156;J2;9;2;1;1;5;1;10;0;0;0;3;83
156;J3;7;1;9;0;0;0;0;0;0;0;2;19
156;J4;0;0;0;0;0;0;10;6;7;6;8;112
156;J5;7;4;10;9;6;0;0;0;0;0;5;0
156;J6;6;9;1;1;5;6;5;3;10;0;5;42
156;J7;0;0;5;3;1;4;5;6;10;8;2;97
156;J8;6;4;2;3;8;6;3;6;0;0;6;10
156;J9;0;0;0;0;0;0;0;0;7;0;5;112
156;J10;10;3;8;9;6;2;1;2;10;7;1;71
156;J11;0;0;0;10;2;6;2;8;5;10;1;95
156;J12;9;0;0;0;0;0;0;0;0;0;1;47
156;J13;0;6;9;0;0;0;0;0;0;0;3;49
156;J14;2;1;9;7;9;10;10;1;10;0;4;92
156;J15;0;0;0;6;10;9;10;4;8;2;6;135

