Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
167;J1;8;1;7;2;0;0;0;0;0;0;7;25
167;J2;0;0;0;0;7;2;0;0;0;0;10;21
167;J3;9;9;4;10;7;7;3;1;9;8;10;43
167;J4;0;0;0;0;0;0;0;0;2;6;2;41
167;J5;6;6;8;7;2;1;6;3;6;10;4;0
167;J6;8;6;4;9;0;0;0;0;0;0;3;12
167;J7;5;8;8;4;5;9;3;5;7;0;5;38
167;J8;0;0;0;0;0;0;0;0;0;3;9;14
167;J9;7;9;9;3;8;8;0;0;0;0;4;15
167;J10;0;0;0;8;9;7;4;7;3;3;7;7
167;J11;2;4;0;0;0;0;0;0;0;0;4;48
167;J12;0;0;4;0;0;0;0;0;0;0;10;4
167;J13;5;9;4;4;4;6;6;5;0;0;10;49
167;J14;0;0;0;0;0;6;2;9;4;7;7;44
167;J15;6;1;8;9;3;9;4;9;6;3;8;14

