Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
151;J1;0;1;0;0;2;0;0;0;0;0;1;24
151;J2;4;4;8;2;7;7;2;5;0;0;2;42
151;J3;0;0;0;0;0;0;0;9;1;6;8;45
151;J4;6;8;4;7;7;9;0;0;0;0;2;12
151;J5;0;0;0;2;6;7;9;10;3;7;7;27
151;J6;3;2;9;0;0;0;0;0;0;0;1;27
151;J7;6;1;8;5;4;8;0;0;0;0;9;51
151;J8;0;0;0;0;9;2;10;0;0;0;7;74
151;J9;0;0;0;0;0;0;0;10;5;3;9;63
151;J10;0;0;2;10;8;6;10;2;1;2;8;40
151;J11;3;6;6;5;3;6;1;1;0;0;2;5
151;J12;6;2;3;4;7;2;10;8;7;0;3;4
151;J13;0;0;1;8;2;8;5;7;5;10;4;55
151;J14;7;9;1;0;0;0;0;0;0;0;8;11
151;J15;3;7;4;9;2;7;9;9;5;4;5;28

