Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
160;J1;6;4;2;3;3;2;5;0;0;0;7;98
160;J2;0;4;10;9;6;2;9;3;1;2;3;44
160;J3;7;10;3;8;4;6;7;2;0;0;10;76
160;J4;0;0;2;7;5;8;10;2;6;8;7;21
160;J5;1;9;6;5;6;0;0;0;0;0;9;30
160;J6;7;5;6;2;2;2;2;4;10;0;10;23
160;J7;8;2;1;0;0;0;0;0;0;0;3;84
160;J8;0;0;7;10;3;2;3;1;1;7;9;43
160;J9;9;1;4;1;9;0;0;0;0;0;9;38
160;J10;0;0;0;0;0;8;3;10;0;0;5;28
160;J11;0;0;0;0;8;10;4;9;10;6;4;5
160;J12;10;7;3;8;6;9;9;10;0;0;7;69
160;J13;8;1;5;0;0;0;0;0;0;0;4;13
160;J14;0;0;0;0;0;0;0;0;0;1;7;16
160;J15;1;4;7;6;8;5;7;0;0;0;5;16

