Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
168;J1;5;9;4;4;6;10;4;6;3;0;10;8
168;J2;5;9;2;7;4;7;9;7;1;3;5;32
168;J3;0;0;0;0;0;0;0;0;0;9;1;40
168;J4;1;9;5;2;4;2;0;0;0;0;1;17
168;J5;0;0;0;0;3;2;4;1;5;9;2;50
168;J6;10;1;10;10;6;9;8;1;0;0;6;7
168;J7;0;0;0;0;0;0;0;6;8;4;2;46
168;J8;2;9;2;2;2;3;6;10;5;7;4;45
168;J9;8;5;0;0;0;0;0;0;0;0;6;39
168;J10;0;0;0;0;0;0;0;0;0;2;3;17
168;J11;3;0;0;0;0;0;0;0;0;0;4;24
168;J12;2;7;6;1;0;0;0;0;0;0;1;32
168;J13;0;0;6;4;10;6;4;10;4;2;5;12
168;J14;7;6;0;0;0;0;0;0;0;0;10;48
168;J15;0;0;0;0;0;0;0;8;7;4;2;15

