Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
172;J1;7;4;5;1;10;1;9;8;7;0;8;35
172;J2;0;2;7;8;9;7;10;9;10;9;1;50
172;J3;1;7;1;5;10;0;0;0;0;0;7;28
172;J4;0;0;0;7;5;10;3;3;7;4;6;25
172;J5;4;3;6;2;8;0;0;0;0;0;9;8
172;J6;6;8;9;4;1;7;7;5;2;7;1;42
172;J7;0;0;0;0;0;0;0;0;0;1;10;28
172;J8;6;2;0;0;0;0;0;0;0;0;6;12
172;J9;5;7;2;3;9;10;1;4;7;0;3;49
172;J10;0;0;0;0;0;0;0;0;0;7;10;34
172;J11;6;9;0;0;0;0;0;0;0;0;3;40
172;J12;0;0;10;1;9;0;0;0;0;0;5;41
172;J13;0;0;0;0;0;0;6;8;9;7;10;6
172;J14;6;4;10;5;7;10;5;1;0;0;7;7
172;J15;0;0;0;0;9;10;4;6;7;3;4;16

