Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
159;J1;2;5;6;1;2;10;7;2;6;0;2;30
159;J2;0;0;3;2;1;9;7;8;3;9;3;31
159;J3;7;7;1;6;10;10;8;8;4;0;8;50
159;J4;0;1;10;10;1;8;4;8;5;5;5;29
159;J5;7;9;0;0;0;0;0;0;0;0;4;17
159;J6;0;0;0;0;2;6;9;2;2;10;5;5
159;J7;8;4;1;4;0;0;0;0;0;0;6;16
159;J8;0;0;0;0;0;0;5;3;10;9;6;0
159;J9;1;8;1;2;10;7;8;5;0;0;4;2
159;J10;0;0;7;5;4;4;1;2;1;7;10;5
159;J11;8;0;0;0;0;0;0;0;0;0;4;29
159;J12;0;4;0;0;0;0;0;0;0;0;10;30
159;J13;3;9;0;0;0;0;0;0;0;0;10;34
159;J14;0;0;0;0;0;0;0;0;0;8;9;34
159;J15;0;4;5;1;6;2;8;9;6;2;1;43

