Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
175;J1;4;0;0;0;0;0;0;0;0;0;5;100
175;J2;4;9;4;2;5;6;6;2;0;0;4;39
175;J3;0;0;0;0;0;0;6;3;3;7;1;139
175;J4;8;3;0;0;0;0;0;0;0;0;4;110
175;J5;0;0;0;0;0;0;0;0;10;9;9;46
175;J6;7;5;1;2;6;3;3;5;2;3;1;131
175;J7;7;1;9;5;6;3;7;6;9;0;5;134
175;J8;0;0;5;5;9;8;2;4;3;5;4;25
175;J9;1;1;7;7;1;6;9;0;0;0;8;140
175;J10;0;10;10;9;10;3;8;1;9;9;9;89
175;J11;3;4;10;1;2;9;0;0;0;0;2;108
175;J12;0;0;0;0;0;0;0;1;7;10;10;125
175;J13;7;4;7;7;3;5;4;9;3;5;10;121
175;J14;9;3;7;3;3;2;9;3;0;0;8;128
175;J15;0;0;0;0;0;0;0;7;9;6;1;109

