Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
157;J1;7;5;5;4;2;2;7;10;3;0;10;131
157;J2;0;0;0;0;0;0;0;0;0;4;2;70
157;J3;0;0;0;0;0;0;0;0;0;10;4;55
157;J4;10;5;8;2;0;0;0;0;0;0;4;47
157;J5;1;9;4;2;9;5;7;9;6;0;8;62
157;J6;10;4;10;8;6;7;4;4;1;4;5;21
157;J7;0;0;0;0;0;0;0;0;0;6;7;18
157;J8;9;7;2;0;0;0;0;0;0;0;8;36
157;J9;0;0;0;0;9;7;8;7;8;8;7;53
157;J10;3;4;3;2;0;0;0;0;0;0;10;70
157;J11;8;4;9;3;2;4;0;0;0;0;6;143
157;J12;5;6;8;3;9;10;6;4;10;3;1;129
157;J13;0;0;0;0;0;0;0;0;6;10;3;129
157;J14;5;7;0;0;0;0;0;0;0;0;1;59
157;J15;0;0;5;8;6;4;10;2;6;7;9;50

