Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
154;J1;1;7;5;8;4;5;8;2;0;0;9;94
154;J2;1;3;6;7;2;3;0;0;0;0;7;3
154;J3;0;0;0;0;2;5;5;9;5;7;6;95
154;J4;4;7;2;2;0;0;0;0;0;0;3;17
154;J5;0;0;0;0;6;0;0;0;0;0;8;186
154;J6;0;0;0;0;0;9;0;0;0;0;6;103
154;J7;10;6;0;0;0;0;0;0;0;0;4;26
154;J8;6;9;10;6;2;6;4;6;6;3;9;20
154;J9;0;0;0;0;7;6;7;5;7;9;3;66
154;J10;8;4;4;8;6;0;0;0;0;0;8;83
154;J11;0;0;0;0;0;6;7;7;4;10;6;64
154;J12;3;0;0;0;0;0;0;0;0;0;3;6
154;J13;0;0;6;0;0;0;0;0;0;0;10;91
154;J14;1;2;6;9;0;0;0;0;0;0;3;190
154;J15;2;5;2;5;3;2;7;7;10;4;1;84

