Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
161;J1;5;3;0;0;0;0;0;0;0;0;6;24
161;J2;0;0;0;0;0;0;4;10;6;1;2;19
161;J3;6;1;4;0;0;0;0;0;0;0;7;68
161;J4;2;7;2;2;8;9;8;2;5;0;10;98
161;J5;0;0;0;5;7;2;6;3;7;10;7;7
161;J6;5;5;7;4;3;3;2;2;0;0;9;41
161;J7;0;9;9;4;5;4;3;10;9;10;2;85
161;J8;10;2;4;10;6;5;0;0;0;0;9;86
161;J9;0;0;0;0;0;0;8;7;7;1;9;56
161;J10;8;0;0;0;0;0;0;0;0;0;6;22
161;J11;5;4;1;5;10;5;8;10;0;0;3;98
161;J12;0;0;0;0;7;3;2;8;1;7;10;89
161;J13;2;8;7;10;0;0;0;0;0;0;6;42
161;J14;10;4;1;1;5;2;9;5;2;4;8;58
161;J15;0;0;0;0;0;0;0;0;2;9;6;56

