Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
162;J1;10;7;7;7;8;10;8;1;5;3;8;27
162;J2;9;9;1;8;0;0;0;0;0;0;10;33
162;J3;0;0;0;0;0;0;2;4;3;10;6;54
162;J4;9;4;4;8;0;0;0;0;0;0;6;61
162;J5;0;0;0;0;7;0;0;0;0;0;8;65
162;J6;8;3;4;1;1;3;10;6;9;9;2;26
162;J7;7;1;1;9;7;6;8;4;0;0;9;66
162;J8;0;0;0;0;3;10;4;7;2;6;6;86
162;J9;1;8;1;1;3;4;2;7;0;0;3;21
162;J10;0;0;0;0;0;0;0;0;10;7;10;93
162;J11;7;9;0;0;0;0;0;0;0;0;6;35
162;J12;8;5;5;9;2;3;5;0;0;0;2;22
162;J13;0;0;3;6;4;3;4;4;4;1;5;71
162;J14;4;8;7;5;5;1;3;2;1;8;2;24
162;J15;3;2;9;6;8;0;0;0;0;0;6;27

