Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
164;J1;4;1;9;1;4;6;0;0;0;0;8;10
164;J2;0;5;2;6;1;10;1;1;9;7;4;36
164;J3;3;2;6;1;0;0;0;0;0;0;10;26
164;J4;0;0;0;0;0;9;6;5;4;4;4;28
164;J5;10;3;3;6;10;0;0;0;0;0;6;29
164;J6;5;10;5;9;10;1;2;9;8;2;6;36
164;J7;8;6;3;4;6;3;4;1;3;4;4;44
164;J8;0;0;0;0;0;0;0;7;10;9;2;31
164;J9;1;8;4;10;6;0;0;0;0;0;5;39
164;J10;0;0;0;0;0;9;5;10;7;3;8;23
164;J11;1;4;6;0;0;0;0;0;0;0;4;10
164;J12;0;0;0;10;0;0;0;0;0;0;7;49
164;J13;0;0;0;0;6;6;5;9;9;7;5;37
164;J14;7;4;7;4;8;2;6;8;9;0;2;47
164;J15;0;0;0;0;7;7;10;1;4;5;3;28

