Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
338;J1;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;0;1;6;2;0;8;7
338;J2;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;9;6;2;2;0;9;91
338;J3;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;1;0;0;5;6;4;46
338;J4;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;9;1;1;3;5;3;37
338;J5;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;4;8;0;7;1;3;49
338;J6;3;7;3;8;0;0;0;0;0;0;9;3;2;7;8;3;7;3;8;0;6;63
338;J7;3;3;5;6;5;5;3;3;9;7;4;2;2;3;5;3;3;5;6;5;10;38
338;J8;5;1;7;8;5;0;0;0;0;0;7;4;5;0;0;5;1;7;8;5;7;100
338;J9;4;4;2;8;2;0;4;0;3;5;0;0;0;0;0;4;4;2;8;2;7;79
338;J10;6;0;4;7;0;0;0;0;0;2;1;3;0;7;6;6;0;4;7;0;8;1

