Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
341;J1;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;5;10;10;8;9;1;89
341;J2;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;3;0;0;0;0;5;73
341;J3;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;0;5;0;3;4;10;2
341;J4;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;7;4;1;5;10;4;38
341;J5;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;0;0;1;0;0;3;68
341;J6;0;1;2;4;6;4;8;1;1;9;4;8;2;2;6;0;1;2;4;6;9;44
341;J7;0;2;0;3;0;0;0;0;0;0;0;8;1;5;0;0;2;0;3;0;6;24
341;J8;0;0;1;0;0;4;5;7;0;0;0;0;0;0;0;0;0;1;0;0;10;13
341;J9;0;0;3;0;0;10;3;9;6;8;4;4;6;10;2;0;0;3;0;0;5;11
341;J10;0;8;7;7;2;0;0;0;1;2;0;0;0;0;0;0;8;7;7;2;2;18

