Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
346;J1;0;4;0;2;0;0;0;0;6;0;3;2;4;7;8;0;9;6;10;4;7;93
346;J2;4;7;2;5;0;0;3;8;0;0;0;0;7;9;0;1;2;4;3;1;6;110
346;J3;0;0;0;0;7;6;1;0;0;0;0;0;9;0;0;0;2;6;0;0;1;26
346;J4;0;0;0;0;0;0;0;0;0;5;0;8;0;0;10;0;0;0;0;4;9;65
346;J5;4;0;0;2;5;0;0;0;0;0;4;10;0;8;4;0;0;0;3;2;3;111
346;J6;0;2;0;0;0;6;1;3;0;0;0;0;0;0;0;0;2;0;0;0;8;36
346;J7;7;0;3;10;2;8;1;6;5;8;1;6;7;0;0;7;0;3;10;2;1;84
346;J8;0;2;6;0;4;0;0;0;0;6;7;5;8;6;10;0;2;6;0;4;6;84
346;J9;0;5;0;0;0;5;5;5;5;1;8;7;10;0;0;0;5;0;0;0;2;0
346;J10;0;0;3;0;0;3;6;5;9;4;0;0;0;0;0;0;0;3;0;0;1;74

