Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
350;J1;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;7;2;8;2;5;8;2
350;J2;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;9;8;1;0;3;8;12
350;J3;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;6;2;4;8;0;7;22
350;J4;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;4;3;5;0;8;7;45
350;J5;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;10;2;5;4;4;3;23
350;J6;0;2;0;0;0;0;0;0;2;6;10;0;0;0;0;0;2;0;0;0;3;8
350;J7;2;9;4;2;0;0;0;0;0;0;0;0;0;2;0;2;9;4;2;0;4;23
350;J8;6;1;3;0;0;0;0;3;7;4;9;6;3;2;1;6;1;3;0;0;7;40
350;J9;0;0;6;0;4;10;5;9;1;3;2;1;4;9;4;0;0;6;0;4;7;27
350;J10;4;0;0;5;2;9;1;4;5;5;2;9;0;0;0;4;0;0;5;2;4;11

