Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
337;J1;0;4;0;0;1;3;0;0;0;0;0;0;8;7;4;4;0;1;3;0;2;36
337;J2;6;5;3;0;0;0;4;0;0;0;1;8;9;9;6;0;2;4;0;0;5;4
337;J3;5;1;10;0;0;7;8;3;0;9;6;3;0;0;0;0;6;1;9;0;3;43
337;J4;0;0;0;7;0;0;0;0;0;0;0;3;0;2;0;2;0;0;0;1;6;3
337;J5;0;0;0;0;5;2;0;0;4;3;0;0;5;7;10;9;0;2;0;0;10;39
337;J6;4;0;8;7;5;0;5;2;5;4;10;1;2;3;4;4;0;8;7;5;6;12
337;J7;1;7;0;9;0;0;0;0;4;6;1;1;1;0;0;1;7;0;9;0;6;13
337;J8;0;0;0;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;3;2;9;41
337;J9;0;3;7;0;2;0;0;0;0;4;4;3;3;8;7;0;3;7;0;2;10;5
337;J10;4;3;10;3;10;4;3;0;0;0;0;0;0;0;0;4;3;10;3;10;6;32

