Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
344;J1;0;0;1;4;0;0;0;0;0;0;0;0;0;5;10;2;8;5;1;0;9;53
344;J2;0;0;0;0;1;3;0;0;0;0;7;3;10;9;5;0;0;0;2;0;8;38
344;J3;4;3;7;8;1;10;1;3;6;0;4;3;6;10;0;0;2;0;0;1;8;47
344;J4;1;0;4;0;3;8;2;0;3;7;10;0;0;0;0;6;0;0;0;0;7;47
344;J5;0;4;0;0;0;1;0;0;3;2;9;0;8;10;0;0;2;1;0;0;3;54
344;J6;0;0;4;5;0;6;4;6;9;5;5;0;0;0;0;0;0;4;5;0;4;48
344;J7;0;4;0;1;7;0;8;2;7;8;7;8;2;1;5;0;4;0;1;7;8;84
344;J8;3;9;10;8;0;7;9;10;4;4;5;4;3;8;0;3;9;10;8;0;5;27
344;J9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;9;68
344;J10;0;5;0;0;2;2;3;4;5;10;7;7;0;0;0;0;5;0;0;2;7;49

