Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
331;J1;9;10;1;6;7;2;0;0;0;0;9;3;1;6;3;0;4;0;0;0;4;41
331;J2;0;0;0;0;0;0;0;0;5;7;0;0;0;5;0;3;5;2;0;8;6;48
331;J3;0;0;0;9;0;0;0;0;0;0;0;0;3;8;7;0;4;1;5;6;4;5
331;J4;0;0;0;0;0;1;7;0;0;0;0;6;5;0;0;2;3;3;9;8;6;40
331;J5;0;0;0;3;4;2;5;7;1;6;0;0;0;5;4;0;0;3;0;4;8;47
331;J6;3;0;0;0;1;0;9;0;0;0;0;0;0;0;0;3;0;0;0;1;4;30
331;J7;0;0;0;3;6;3;6;9;8;7;1;0;0;0;0;0;0;0;3;6;6;6
331;J8;0;0;5;0;0;0;0;0;0;0;0;0;0;3;7;0;0;5;0;0;7;46
331;J9;8;7;2;0;0;0;0;0;0;4;3;0;0;0;0;8;7;2;0;0;4;4
331;J10;10;7;5;4;8;7;8;8;7;3;8;5;2;1;1;10;7;5;4;8;1;30

