Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
333;J1;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;0;6;0;3;0;2;31
333;J2;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;2;7;10;9;8;9;12
333;J3;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;0;0;0;1;0;6;37
333;J4;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;1;0;4;8;3;5;199
333;J5;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;6;0;4;2;0;3;129
333;J6;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;1;0;0;0;0;7;38
333;J7;0;0;0;0;2;0;0;0;5;2;5;6;4;4;3;0;0;0;0;2;9;43
333;J8;2;0;4;0;0;0;0;5;10;8;9;3;1;5;9;2;0;4;0;0;10;7
333;J9;0;3;0;2;0;10;4;7;0;0;0;0;0;0;0;0;3;0;2;0;3;21
333;J10;5;7;0;1;8;0;0;0;0;5;2;4;0;0;0;5;7;0;1;8;8;5

