Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
345;J1;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;0;0;3;0;5;1;110
345;J2;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;0;0;2;8;7;2;57
345;J3;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;0;0;0;3;0;6;1
345;J4;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;0;0;0;2;3;3;13
345;J5;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;0;4;0;9;5;1;136
345;J6;3;0;2;4;0;8;4;2;8;10;6;5;3;10;6;3;0;2;4;0;8;76
345;J7;0;4;0;6;0;0;0;0;0;0;0;1;8;10;6;0;4;0;6;0;3;80
345;J8;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;10;37
345;J9;0;0;3;1;6;0;0;0;0;0;0;0;0;0;6;0;0;3;1;6;5;88
345;J10;0;8;0;4;0;2;3;6;5;4;7;3;6;5;0;0;8;0;4;0;8;35

