Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
335;J1;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;7;8;9;8;7;1;3
335;J2;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;0;2;0;7;1;6;33
335;J3;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;0;2;0;8;0;6;39
335;J4;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;10;4;8;5;5;6;3
335;J5;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;1;0;0;0;0;1;23
335;J6;5;2;9;0;0;0;0;1;9;4;2;5;0;6;0;5;2;9;0;0;7;37
335;J7;0;0;0;2;0;2;6;0;0;9;10;0;5;0;0;0;0;0;2;0;8;36
335;J8;10;8;1;0;4;2;9;1;6;7;0;0;0;0;2;10;8;1;0;4;3;38
335;J9;5;1;6;1;0;6;0;5;3;0;0;0;0;0;0;5;1;6;1;0;10;79
335;J10;8;4;8;10;5;0;0;0;0;2;0;5;9;1;8;8;4;8;10;5;4;120

