Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
343;J1;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;2;0;1;5;0;8;128
343;J2;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;9;1;7;10;3;9;34
343;J3;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;0;0;1;0;0;10;178
343;J4;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;0;3;4;6;0;1;136
343;J5;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;0;7;0;6;0;8;12
343;J6;0;0;0;3;2;10;9;9;3;9;9;0;0;0;0;0;0;0;3;2;4;44
343;J7;5;5;8;2;3;0;0;9;5;6;3;6;0;0;0;5;5;8;2;3;10;26
343;J8;0;2;8;0;7;3;5;4;3;2;4;8;6;2;0;0;2;8;0;7;7;186
343;J9;4;6;1;8;7;5;1;4;7;1;0;0;6;0;2;4;6;1;8;7;5;155
343;J10;0;0;2;0;0;0;3;4;2;2;9;4;1;5;1;0;0;2;0;0;7;154

