Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
332;J1;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;3;0;0;0;0;9;35
332;J2;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;1;3;0;0;0;6;49
332;J3;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;0;0;4;0;0;7;7
332;J4;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;6;8;8;8;9;6;18
332;J5;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;6;1;9;10;2;3;0
332;J6;4;10;0;1;3;6;3;0;0;0;0;0;0;0;0;4;10;0;1;3;1;48
332;J7;0;0;3;1;0;0;0;1;3;0;0;0;0;0;0;0;0;3;1;0;10;43
332;J8;4;0;0;0;0;0;7;5;6;4;9;0;0;0;0;4;0;0;0;0;10;24
332;J9;2;9;9;9;7;1;5;8;7;9;10;10;8;8;5;2;9;9;9;7;9;17
332;J10;9;8;0;2;8;3;5;10;5;9;7;4;9;0;0;9;8;0;2;8;7;28

