Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
327;J1;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;0;5;3;0;7;6;60
327;J2;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;8;0;0;0;0;6;26
327;J3;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;0;0;0;3;0;7;37
327;J4;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;5;7;2;8;4;6;35
327;J5;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;5;7;9;6;0;7;79
327;J6;0;0;9;3;0;0;0;5;3;9;7;0;0;0;8;0;0;9;3;0;10;89
327;J7;3;0;3;8;0;2;8;4;3;0;0;7;5;0;0;3;0;3;8;0;2;75
327;J8;10;8;4;5;0;5;0;4;7;4;5;0;0;3;2;10;8;4;5;0;10;93
327;J9;0;0;0;0;9;0;0;0;0;2;1;10;4;5;0;0;0;0;0;9;6;50
327;J10;0;0;7;4;8;0;0;0;0;0;0;1;4;3;6;0;0;7;4;8;2;143

